CBR_Flow_Rate,Tahoe,Reno,NewReno,Vegas
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0.374,0.503,0.41,0
10,4.487,4.095,4.292,5.988
