CBR_Flow_Rate,Tahoe,Reno,NewReno,Vegas
1,2.536,2.536,2.536,2.395
2,2.536,2.536,2.536,2.392
3,2.536,2.536,2.536,2.391
4,2.534,2.534,2.534,2.391
5,2.533,2.533,2.533,2.332
6,2.534,2.534,2.534,2.256
7,2.52,2.52,2.52,2.321
8,1.934,1.934,1.934,1.970
9,1.025,0.918,0.985,1.158
10,0.084,0.084,0.084,0.156
